"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
2356;"Umschalten und Umsetzen eines Wechselschalters für das Filiallager. ";"Stück";"Umsch. u.Ums. Wechselschal."
2357;"Lieferung und Montage von 7 Schukosteckdosen, verteilt auf 4 nicht abschaltbare Stromkreise";"Stück";"Schukosteckdosen "
2358;"Umbau der Klingelanlage auf 230V-Läutewerke. Bis zu 6 Läutewerke nach BBS 8.3.8";"Stück";"Umbau Klingelanlage"
2359;"Liefern und Verlegen von 3 Drehstromleitungen. Abgesichert mit";"Stück";"Drehstromleitungen "
236;"Flachläutewerk 5 - 12V";"Stück";"KK2"
2360;"Verlängern aller Leitungen für die kleine Mopro. Maschine und Verdichter werden umgesetzt, ";"Stück";"Leitungen kl. Mopro"
2361;"Liefern und Verlegen einer Drehstromleitung für das Rolltor, unter Verwendung der vorh. ";"Stück";"Drehstromleitg. f. Rolltor"
2362;"Lieferung und Montage der Rampenbeleuchtung bestehend aus: ";"Stück";"Rampenbeleuchtg. "
2363;"Lieferung und Montage eines Magnetkontaktes an der neuen Lager-Außentür mit Sabotageschleife";"Stück";"Magnetkontakt, Lager-Außent. "
2364;"Lieferung und Montag einer 32A-Steckdose hinten auf der Rampe, gem. BBS 8.3.7";"Stück";"32A-Steckdose "
237;"Schalmeiläutewerk 5 - 12 V";"Stück";"KK3"
2374;"Wechselstromzähler beglaubigt";"Stück";2374
238;"Gong, standard 5 - 8V";"Stück";"KK4"
2380;"Fassung für 12V NV Lampe";"Stück";2380
2381;"Netgear Prosafe VPN Firewall";"Stück";2381
2382;"5V Netzteil für VoIP Telefon";"Stück";2382
2384;"Einbaurasterleuchte 4x 18W EVG";"Stück";2384
239;"Gong, elektron./einstellbar";"Stück";"KK5"
240;"Schalmeiläutewerk 220V";"Stück";"KK6"
2400;"Lieferung und Montage eines Drehstromzählers neben der Verteilung, einschl. ";"Stück";"Drehstromzähler"
241;"graviertes Namenschild";"Stück";"KN"
2418;"Kaltgerätestecker";"Stück";2418
242;"Einbauklingeltrafo 2A";"Stück";"KT2"
2420;"Netgear 16 Port Smart Switch + 2x Gbic Solt für LWL";"Stück";2420
2421;"Netgear 1000Base-SX  SFP GBIC Fiber - Modul für Gbic Slot";"Stück";2421
2422;"LWL Kabel Multimode 4 Fasern mit Nagetierschutz 150m";"Stück";2422
243;"Trafo-Läutewerk-Kombination 8V";"Stück";"KT3"
2432;"Auerswald Commander Basic 2";"Stück";2432
2433;"Auerswald COMmander 8 a/b Modul";"Stück";2433
2434;"Auerswald COMmander 4 SO Modul";"Stück";2434
2435;"Auerswald Comfortel 2500 Systemtelefon";"Stück";2435
2436;"Auerswald Commander 8UP0-Module";"Stück";2436
2437;"Auerswald Comfortel Dect 900 Set";"Stück";2437
2438;"Auerswald Comfortel Dect 900 Handset";"Stück";2438
2439;"Auerswald Commander 4S0 Modul ";"Stück";2439
244;"Türöffner 8 - 12V m. Universalanl. ";"Stück";"KT4"
2440;"Auerswald Comfortel 2500 Systemtelefon + AB";"Stück";2440
2442;"Auerswald COMmander 2 TSM analoge Module";"Stück";2442
2443;"Auerswald Comfortel Xtension30";"Stück";2443
2444;"Auerswald Analoges DECT-Komplettsystem mit Basis und einem Mobilteil";"Stück";2444
245;"Türöffner eff eff";"Stück";"KT5"
246;"Hochleistungstrafo 24V, 3A";"Stück";"KT6"
2460;"Demontage und Transport von 2 Zählern der Voreigentümer";"Stück";2460
2462;"Lieferung und Montage eines konisch zulaufenden ";"Stück";2462
2463;"Liefern von 2 Strahler, Alu-Druckguß grau";"Stück";2463
2464;"Verdrahtung des Pylons über 2 FR-Wechselschalter";"Stück";2464
2465;"Auswechseln von 24 L-Röhren und Startern";"Stück";2465
2466;"Arbeitsbühne Miete 1 Tag, inkl. Benzin, Versicherung etc. ";"Stück";2466
247;"Glühlampe 15W, E 27";"Stück";"L15"
248;"Glühlampe 150W, E 27";"Stück";"L150"
2480;"Fritz WLan USB Stick USB2.0-II ";"Stück";2480
2481;"Berker Bewegungsmelder 180 UP";"Stück";2481
2493;"Installationspauschale";"Stück";2493
2502;"BTR Datenanschlussmodul Cat. 6";"Stück";2502
2508;"Lieferung und Montage von 4 Netzwerkanschlüssen und 4 Telefonanschlüssen";"Stück";2508
251;"Glühlampe 200W, E 27";"Stück";"L200"
2510;"Auerswald 2104 USB TK-Anlage 4 Ports";"Stück";2510
2517;"4x0,25 qmm Leitung flexibel";"Meter";2517
252;"Glühlampe 25 - 100W, E 27";"Stück";"L25100"
253;"Seko Ers.-Lp. 25W, 220V, E14, Alarm";"Stück";"L8"
2544;"Lieferung und Monatge Netzwerkanschluss im Lager";"Stück";2544
255;"BAP-Leuchten 2x58W";"Stück";"LBAP"
2557;"Rückbau Kamerasystem";"Stück";2557
2565;"Auerswald Commander 16xVoIP Modul";"Stück";2565
2566;"Auerswald Commander 8xVoIP Modul";"Stück";2566
2577;"Demontage und Entsorgung Videoüberwachungsanlage";"Stück";2577
2578;"Demontage von Access-Points zur Wiederverwendung";"Stück";2578
2579;"Demontage und Entsorgung UV- Markt 1";"Stück";2579
2580;"Demontage der Conv. Vorbereitung";"Stück";2580
2581;"Demonatge und Entsorgung UV-Markt-Kassen und UV-Fleisch";"Stück";2581
2582;"Baustromverteiler 63A + prov Baubeleuchtung";"Stück";2582
2583;"Lieferung und Montage UV-Fleisch komplett incl.";"Stück";2583
2584;"Lieferung und Montage UV-Markt komplett mit Beleuchtungssteuerung";"Stück";2584
2585;"Erweiterung der HV mit Hensel Sicherungslasttrennergehäuse NH00";"Stück";2585
2586;"Lieferung und Montage einer 1-Kunden Zählerverteilung inkl.";"Stück";2586
2595;"Logitech Ultra Slim Keyboard";"Stück";2595
2596;"Logitech PC Boxen";"Stück";2596
2615;"Lieferung und Montage der internen Heizungs- und Lüftungsverkabelung";"Stück";2615
2616;"Lieferung und Montage der internen Verkabelung für den Hausalarm";"Stück";2616
2625;"Auerswald Commander 8S0 Modul";"Stück";2625
263;"Sofittenlampe bis 18V";"Stück";"LCV"
2632;"Netgear Gigabit Switch 8 Port Kupfer ";"Stück";2632
2633;"Deckenausschnitte in GK-Decke herstellen";"Stück";2633
2634;"Fugato MBS264 1x SDW-TG 100W EVG 36°";"Stück";2634
2635;"Fugato Zubehör MBS264 Filterscheibe";"Stück";2635
2636;"Wieland-Verbindungsleitung 3m 5-polig";"Stück";2636
2637;"Lieferung und Montage AEG Maxos Lichtschiene 1-flammig 1x58W inkl. EVG";"Stück";2637
2638;"Lieferung und Montage LL-Röhre T5 21W 840 ";"Stück";2638
